Model,NLL,Bits_per_Dimension,Mean_Pixel_Value,Pixel_Diversity
pixelcnn,68.30764770507812,0.022235562403996784,0.34244024753570557,0.2863748371601105
row_lstm,6.530091762542725,0.002125680912286043,0.47231385111808777,0.2515595555305481
diagonal_bilstm,5.476414203643799,0.0017826869152486324,0.46507522463798523,0.26051461696624756
